,Dataset,Dataset Indices,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,Rotation,Flare,Ear (bin),Ear
297,SONICOM,104,1.7612,0.763457,1.89945,1.96077,6.45335,3.09279,0.61,1.17,1.26,0.28,9.67971516910687,20.821110916139297,1.0,Right
236,SONICOM,26,1.72149,0.851644,1.83537,1.78226,6.22095,2.74952,0.71,1.01,1.02,0.2,6.495338477447768,11.796701992967547,1.0,Right
7,HUTUBS,8,1.9411,0.9054,1.7162,2.4153,6.4566,2.8507,0.6,1.27,1.21,0.3,14.7688,36.6964,0.0,Left
18,HUTUBS,30,1.761,0.7156,1.6055,2.1183,5.9379,2.5562,0.43,1.04,1.12,0.31,14.1656,44.8042,0.0,Left
257,SONICOM,53,1.52916,1.4775,1.63364,1.26909,5.85649,2.7289,0.85,1.0,1.19,0.19,6.148033471728355,33.95708931611327,1.0,Right
276,SONICOM,76,1.6071,0.736227,1.10051,2.16117,5.67233,2.75715,0.59,0.98,0.87,0.23,12.797835336061487,44.624192954503165,1.0,Right
105,SONICOM,54,1.75604,0.887773,2.0504,2.09498,6.88771,2.94341,0.89,1.25,1.23,0.22,12.235202641326602,18.57201633739877,0.0,Left
208,HUTUBS,90,1.7097,1.0045,1.8014,2.1102,6.1035,2.971,0.85,1.0,1.03,0.36,17.9897,19.2776,1.0,Right
0,HUTUBS,1,1.7,0.82,1.79,2.18,5.99,3.24,0.72,1.16,1.09,0.23,16.4941,27.9157,0.0,Left
110,SONICOM,61,1.43477,1.08049,1.80464,1.51484,5.95061,2.75795,0.57,1.15,1.24,0.34,12.106003629965125,18.78644626968264,0.0,Left
103,SONICOM,50,1.323006,0.74759,1.78164,1.82224,6.40415,2.94106,0.49,1.19,1.29,0.22,2.2472484106221864,19.967605879453817,0.0,Left
54,HUTUBS,89,1.8501,0.907,1.8069,1.6521,6.0629,2.9158,0.74,1.38,1.2,0.3,16.6888,24.5802,0.0,Left
244,SONICOM,36,1.743,0.83505,1.69949,1.91755,6.44041,2.73793,0.52,1.01,0.89,0.32,1.2991996552961065,27.504168626968863,1.0,Right
25,HUTUBS,45,1.6574,1.0701,1.6882,1.9757,6.3975,2.8051,0.5,1.4,1.4,0.23,14.3411,18.1576,0.0,Left
253,SONICOM,46,1.975,0.959192,1.47089,1.70676,6.7826,2.48294,0.52,1.29,1.21,0.22,15.766136922511349,29.11298447325886,1.0,Right
158,HUTUBS,6,1.5933,0.9966,1.7687,2.0624,6.0428,2.9419,0.61,1.15,1.1,0.34,20.337,25.7905,1.0,Right
170,HUTUBS,29,1.8604,1.0979,1.7296,2.0117,6.1036,3.0056,0.58,0.8,1.02,0.29,12.7446,30.3769,1.0,Right
97,SONICOM,43,1.41787,0.682945,1.5705,1.6618,5.79683,2.31699,0.54,1.04,1.06,0.24,4.046805495337959,25.46827524042375,0.0,Left
181,HUTUBS,48,1.6946,0.9448,1.1351,1.859,5.802,2.4589,0.42,1.0,0.95,0.36,4.6225,35.6242,1.0,Right
254,SONICOM,47,1.72362,0.958821,1.31842,1.19315,5.69041,2.22395,0.45,0.97,0.86,0.22,12.389135763298055,30.335072998314274,1.0,Right
116,SONICOM,68,1.6631,0.826541,1.62114,1.83762,5.9322,2.94172,0.62,1.18,1.42,0.3,8.370565617902693,37.828399292764566,0.0,Left
174,HUTUBS,33,2.2011,1.3284,1.7563,2.3434,6.3452,2.6878,0.98,1.3,1.4,0.37,10.4431,38.8867,1.0,Right
31,HUTUBS,57,1.6913,1.0106,2.1511,2.2181,5.7439,3.2809,0.64,1.2,1.17,0.27,0.6255,33.7733,0.0,Left
74,SONICOM,16,1.61605,0.859859,1.82347,1.2186,5.66563,3.40141,0.56,1.17,1.04,0.43,18.13591613458802,23.61050189713516,0.0,Left
180,HUTUBS,47,1.91,1.0784,2.0163,2.6523,7.0096,3.1068,0.71,1.23,1.0,0.3,16.9832,31.8436,1.0,Right
79,SONICOM,22,1.94628,1.07106,1.64138,1.92575,7.08547,3.12483,0.7,1.24,1.36,0.3,17.673792282228387,25.05950622077914,0.0,Left
52,HUTUBS,82,2.0686,1.0736,1.9957,2.4664,6.5327,3.6449,0.57,1.22,1.37,0.26,14.9754,42.7338,0.0,Left
